id,aphelion,perihelion,semimajorAxis,mass,equaRadius,sideralOrbit,gravity
ceres,445410000,382620000,413690250,9.393000000000001e+20,487.0,1681.63,0.28
eris,14594512904,5765732799,10180122852,1.66e+22,0.0,203830.0,0.82
uranus,3006318143,2734998229,2870658186,8.68127e+25,25559.0,30685.4,8.87
pluton,7376124302,4436756954,5906440628,1.3029999999999998e+22,1188.3,90465.0,0.62
neptune,4537039826,4459753056,4498396441,1.02413e+26,24764.0,60189.0,11.15
haumea,7706399149,5157623774,6432011461,4.006e+21,0.0,103774.0,0.401
makemake,7894762625,5671928586,6783345606,4.4000000000000005e+21,745.0,112897.0,0.5
jupiter,816620000,740379835,778340821,1.89819e+27,71492.0,4332.589,24.79
mars,249200000,206700000,227943824,6.417119999999999e+23,3396.19,686.98,3.71
mercure,69816900,46001200,57909227,3.30114e+23,2440.53,87.969,3.7
saturne,1503509229,1349823615,1426666422,5.6833600000000006e+26,60268.0,10759.22,10.44
terre,152100000,147095000,149598262,5.97237e+24,6378.1366,365.256,9.8
venus,108939000,107477000,108208475,4.86747e+24,6051.8,224.701,8.87
